PH,NH,DH,MSH,PNH,RI,MPH,CT,NT,MSL,CL,CTR,NTR,MCT,MCL,Kurt,Skew,Area,APN,RPA,Aos,Aso,RSD,VPo,PW90,PW75,PW66,PW50,PW33,PW25,PW10,K,PTT,MWS,PNL,NI,AI,SI,P2ocd,AC,DC,mNPV,Ams,PDA,SFm,AFm,AFe,VFD,Ha,Hb,Hc,Hd,He,Hba,Hca,Hda,Hea,AGI,,
3.177,2.614,2.355,1.545,0.822,0.741,0.487,0.267,0.381,0.134,1.038,0.257,0.367,0.503,0.13,-1.3,0.328,92.269,36.04,0.391,26.245,66.024,0.399,26.245,19.13,32.568,40.166,54.523,68.61,74.547,85.404,0.445,0.162,0.06,0.114,0.58,0.259,1067.901235,0.771,3.247,0.445,0.88,0.102,0.032,0.757,3.177,-3.186,0.041,0.506,-0.538,0.059,-0.058,0.08,-1.063,0.117,-0.115,0.158,-1.223,,
3.209,2.369,2.047,1.562,0.736,0.636,0.487,0.208,0.316,0.104,0.753,0.277,0.42,0.498,0.138,-1.149,0.113,74.83,28.933,0.39,20.955,53.874,0.394,20.955,13.713,22.705,27.393,36.305,50.343,57.049,66.838,0.497,0.168,0.077,0.108,0.724,0.364,1000,0.544,3.343,0.497,0.87,0.127,0.04,1.229,3.209,-3.205,0.091,0.835,-0.858,0.245,-0.181,0.235,-1.028,0.29,-0.212,0.28,-1.386,,
3.37,2.495,1.191,1.584,0.737,0.35,0.47,0.291,0.464,0.136,1.042,0.28,0.447,0.468,0.131,-1.369,0.242,97.983,46.03,0.477,29.757,68.226,0.44,29.757,23.656,39.688,47.455,59.475,71.15,76.656,87.69,0.47,0.408,0.058,0.173,0.857,0.65,431.372549,0.751,3.419,0.47,0.879,0.1,0.03,0.736,3.37,-3.341,0.05,0.497,-0.446,0.018,-0.051,0.102,-0.899,0.038,-0.101,0.204,-1.04,,
3.483,1.846,1.628,1.759,0.53,0.468,0.505,0.235,0.383,0.124,0.934,0.252,0.41,0.527,0.133,-0.872,0.559,74.311,42.086,0.567,22.256,52.055,0.428,22.256,14.888,24.274,28.898,36.585,45.042,49.663,77.144,0.398,0.231,0.074,0.148,0.694,0.532,705.6277056,0.699,3.513,0.398,0.898,0.122,0.035,0.987,3.483,-3.475,0.298,0.658,-0.819,0.422,-0.301,0.313,-1.246,0.643,-0.46,0.477,-1.906,,
3.426,0.732,1.665,2.004,0.214,0.482,0.585,0.539,0.444,0.446,1.006,0.536,0.444,0.826,0.443,0.243,1.261,59.9,9.43,0.159,30.102,29.798,1.014,30.102,14.156,23.037,27.375,34.461,41.832,45.442,52.889,0.298,-0.155,0.032,-0.095,0.958,0.518,1083.870968,0.466,3.468,0.298,0.921,0.116,0.034,0.263,3.426,-3.428,0.691,0.236,-0.105,0.644,-0.57,0.474,-0.307,5.569,-3.053,4.994,-7.816,,
2.886,1.524,1.609,1.609,0.528,0.558,0.558,0.488,0.646,0.367,0.931,0.524,0.694,0.753,0.395,-1.013,0.664,68.641,40.624,0.592,29.97,38.671,0.776,29.97,17.335,28.316,33.743,42.752,52.405,57.276,67.626,0.369,-0.121,0.03,0.158,2.266,0.442,1239.669421,0.443,2.91,0.369,0.888,0.084,0.029,0.23,2.886,-2.892,0.098,0.383,-0.127,0.158,-0.525,0.16,-0.328,0.414,-1.375,0.426,0.207,,
1.72,0.326,0.497,0.858,0.188,0.284,0.499,0.309,0.477,0.206,0.726,0.419,0.653,0.622,0.274,-0.784,0.807,53.952,17.124,0.318,23.832,30.12,0.814,23.832,13.583,21.952,25.955,32.321,38.637,41.577,47.225,0.376,0.12,0.031,0.167,3.198,0.716,1400,0.417,1.821,0.376,0.829,0.065,0.038,0.406,1.72,-1.779,0.204,0.376,-0.383,0.312,-0.308,0,-1.05,0.836,-0.8,0,-1.086,,
3.404,1.021,0.766,1.79,0.299,0.229,0.526,0.302,0.485,0.19,0.745,0.405,0.65,0.614,0.254,-1.157,0.619,54.537,41.576,0.763,23.76,30.777,0.774,23.76,15.426,25.048,29.711,37.242,44.879,48.506,55.611,0.366,0.19,0.058,0.182,1.904,0.771,857.8947368,0.443,3.443,0.366,0.904,0.113,0.033,0.649,3.404,-3.405,0.435,0.526,-0.478,0.275,-0.337,0.07,-0.905,0.524,-0.647,0.131,-0.912,,
3.376,0.752,0.975,2.021,0.222,0.286,0.598,0.574,0.412,0.483,1.021,0.562,0.403,0.839,0.472,0.205,1.198,61.515,0,0,30.414,31.102,0.986,30.414,13.969,22.775,27.103,34.237,41.793,45.581,53.75,0.302,-0.264,0.03,-0.162,0.683,0.714,625,0.447,3.407,0.302,0.919,0.115,0.034,0.241,3.376,-3.382,0.564,0.189,-0.167,0.659,-0.406,0.571,-1.328,7.192,-2.651,8.321,-14.19,,
3.325,0.892,0.645,2.051,0.268,0.194,0.617,0.634,0.472,0.542,1.019,0.622,0.463,0.855,0.532,-0.013,1.073,68.221,0,0,36.635,31.586,1.16,36.635,14.179,23.174,27.625,35.029,43.019,47.114,56.246,0.335,-0.356,0.026,-0.162,0.861,0.806,477.5280899,0.386,3.341,0.335,0.909,0.108,0.032,0.199,3.325,-3.316,0.311,0.248,-0.21,0.669,-0.322,0.416,-0.834,2.932,-1.328,1.921,-4.359,,
